county_name,state,mobility_rate
Berkeley, SC,0.13
Kershaw, SC,0.13
Morgan, TN,0.1299
Red River, TX,0.1299
Avery, NC,0.1294
McMinn, TN,0.1293
Randolph, NC,0.1292
Rolette, ND,0.1289
Unicoi, TN,0.1286
Sampson, NC,0.1282
Wayne, NC,0.128
Tillman, OK,0.1278
Marion, TN,0.1278
Webb, TX,0.1276
Stewart, TN,0.1273
Person, NC,0.1272
Henry, TN,0.1272
Highland, OH,0.1265
Brown, OH,0.1262
Tipton, TN,0.1261
Obion, TN,0.126
Hamblen, TN,0.1259
Rockingham, NC,0.1257
Pasquotank, NC,0.1253
Mitchell, NC,0.1251
Sequoyah, OK,0.1251
Starr, TX,0.1246
Lawrence, TN,0.1242
Cleveland, NC,0.1241
Hidalgo, TX,0.1241
Harnett, NC,0.124
McNairy, TN,0.124
Delaware, OK,0.1239
Alexander, NC,0.1237
Maverick, TX,0.1236
Perquimans, NC,0.1235
Onslow, NC,0.123
Jefferson, TN,0.1226
Presidio, TX,0.1225
Yancey, NC,0.122
Gibson, TN,0.122
White, TN,0.122
Seminole, OK,0.1216
Darlington, SC,0.1216
Perry, TN,0.1216
Jackson, OH,0.1208
Trousdale, TN,0.1206
Meigs, TN,0.1193
Rhea, TN,0.1192
Franklin, NC,0.1188
Alleghany, NC,0.1185
Burke, NC,0.1185
Marion, TX,0.1185
Houston, TN,0.1183
Cameron, TX,0.1181
Frio, TX,0.118
Hocking, OH,0.1179
Caldwell, TX,0.1179
Dimmit, TX,0.1178
Brunswick, NC,0.1174
La Salle, TX,0.1174
Greene, NC,0.1173
Edgefield, SC,0.1171
Jackson, TN,0.117
McIntosh, OK,0.1163
Lewis, TN,0.1162
Warren, TN,0.1162
Fayette, OH,0.1161
Henderson, TN,0.1161
Okfuskee, OK,0.1158
Richmond, NC,0.1153
Pike, OH,0.1152
McCurtain, OK,0.1149
Saluda, SC,0.1148
Sumter, SC,0.1148
Wayne, TN,0.1148
Caldwell, NC,0.1147
Cumberland, NC,0.1147
Bertie, NC,0.114
Overton, TN,0.1139
McDowell, NC,0.1135
Fayette, TN,0.1135
Sevier, TN,0.1133
Caswell, NC,0.1131
Duplin, NC,0.1126
Greenwood, SC,0.1126
Rutherford, NC,0.1124
Choctaw, OK,0.1115
Pender, NC,0.1107
Cherokee, NC,0.1104
Washington, NC,0.1103
Polk, TN,0.1102
Monroe, TN,0.1094
Hawkins, TN,0.1088
Lenoir, NC,0.1086
Barnwell, SC,0.1086
Lancaster, SC,0.1079
Vinton, OH,0.1078
Sequatchie, TN,0.1075
San Augustine, TX,0.1072
Martin, NC,0.1067
Calhoun, SC,0.1056
Chesterfield, SC,0.1055
Halifax, NC,0.105
Columbus, NC,0.1049
Clarendon, SC,0.1046
Hickman, TN,0.1045
Cherokee, SC,0.1042
Laurens, SC,0.1041
Lauderdale, TN,0.1039
Hertford, NC,0.1038
Grainger, TN,0.1037
Bladen, NC,0.1032
Macon, TN,0.1031
Swain, NC,0.1015
Northampton, NC,0.1013
Hampton, SC,0.1012
Montgomery, NC,0.101
Ashe, NC,0.1003
Willacy, TX,0.0995
Zavala, TX,0.0989
Orangeburg, SC,0.0984
Hancock, TN,0.0981
Kimble, TX,0.0978
Vance, NC,0.0977
Abbeville, SC,0.0977
Colleton, SC,0.0976
Greene, TN,0.0946
Anson, NC,0.0944
Madison, NC,0.0927
Union, TN,0.0917
Warren, NC,0.0886
Scotland, NC,0.0884
Fentress, TN,0.0858
Chester, SC,0.0842
Haywood, TN,0.084
Fairfield, SC,0.0835
Hardeman, TN,0.0825
McCormick, SC,0.082
Union, SC,0.0808
Scott, TN,0.0808
Dillon, SC,0.08
Robeson, NC,0.0782
Bamberg, SC,0.0769
Edgecombe, NC,0.0762
Williamsburg, SC,0.0747
Van Buren, TN,0.0743
Adair, OK,0.0716
Jasper, SC,0.0707
Marion, SC,0.07
Lake, TN,0.0686
Johnson, TN,0.0682
Grundy, TN,0.0659
Marlboro, SC,0.0618
Lee, SC,0.0614
Allendale, SC,0.04
,,
Burke, ND,0.4572
Fairfax, VA,0.3916
Loudoun, VA,0.3543
Fairfax city, VA,0.3176
Poquoson city, VA,0.3097
Arlington, VA,0.2923
Manassas city, VA,0.2906
King, WA,0.284
James City, VA,0.2821
York, VA,0.2769
Albemarle, VA,0.2765
Prince William, VA,0.2752
Fauquier, VA,0.2745
Stafford, VA,0.2727
Whitman, WA,0.2725
Hanover, VA,0.2677
Goochland, VA,0.263
Monongalia, WV,0.2617
Chesterfield, VA,0.2588
Colonial Heights city, VA,0.2588
Roanoke, VA,0.2528
Marshall, WV,0.2493
Kittitas, WA,0.2489
Snohomish, WA,0.2479
Alexandria city, VA,0.2448
Ohio, WV,0.2411
Harrison, WV,0.24
Clarke, VA,0.239
Benton, WA,0.2381
Williamsburg city, VA,0.2353
Pleasants, WV,0.2353
King George, VA,0.2325
Whatcom, WA,0.2319
Calhoun, WV,0.2312
Henrico, VA,0.2298
Marion, WV,0.2298
Spotsylvania, VA,0.2285
Winchester city, VA,0.2259
San Juan, WA,0.2205
Putnam, WV,0.2202
New Kent, VA,0.2189
Montgomery, VA,0.2185
Chelan, WA,0.2174
Kitsap, WA,0.2164
Frederick, VA,0.2151
Botetourt, VA,0.2147
Radford city, VA,0.212
Thurston, WA,0.212
Brooke, WV,0.212
Bedford, VA,0.2111
Douglas, WA,0.2108
Clark, WA,0.2091
Skagit, WA,0.2081
Pierce, WA,0.208
Island, WA,0.2075
Spokane, WA,0.2062
Hancock, WV,0.2056
Powhatan, VA,0.2052
Alleghany, VA,0.2051
Jefferson, WA,0.2042
Virginia Beach city, VA,0.2039
Adams, WA,0.2025
Cowlitz, WA,0.2024
Pacific, WA,0.1994
Salem city, VA,0.1992
Tyler, WV,0.1976
Harrisonburg city, VA,0.1975
Warren, VA,0.1971
Grant, WA,0.1952
King William, VA,0.1946
Tazewell, VA,0.1943
Charlottesville city, VA,0.1943
Culpeper, VA,0.1939
Kanawha, WV,0.1937
Gloucester, VA,0.1928
Stevens, WA,0.1924
Lewis, WV,0.1917
Lewis, WA,0.1915
Upshur, WV,0.1914
Buchanan, VA,0.1909
Preston, WV,0.1906
Skamania, WA,0.1897
Walla Walla, WA,0.1892
Raleigh, WV,0.188
Prince George, VA,0.1871
Grays Harbor, WA,0.187
Isle of Wight, VA,0.1869
Shenandoah, VA,0.1869
Klickitat, WA,0.1866
Tucker, WV,0.1857
Asotin, WA,0.1854
Boone, WV,0.1854
Rockingham, VA,0.1852
Middlesex, VA,0.1849
Braxton, WV,0.1848
Pend Oreille, WA,0.1846
Campbell, VA,0.1843
Franklin city, VA,0.1834
Chesapeake city, VA,0.1832
Nicholas, WV,0.1829
Gilmer, WV,0.1826
Cabell, WV,0.1825
Franklin, WA,0.1806
Taylor, WV,0.1805
Mineral, WV,0.1804
Clallam, WA,0.18
Fredericksburg city, VA,0.1799
Okanogan, WA,0.1799
Jefferson, WV,0.1796
Doddridge, WV,0.1789
Logan, WV,0.1735
Appomattox, VA,0.1725
Orange, VA,0.1724
Lynchburg city, VA,0.172
Barbour, WV,0.1708
Amherst, VA,0.1699
Rockbridge, VA,0.1696
Mercer, WV,0.1696
Berkeley, WV,0.1686
Jackson, WV,0.168
Yakima, WA,0.1678
Louisa, VA,0.1676
Augusta, VA,0.1655
Mason, WA,0.1643
Manassas Park city, VA,0.1633
Madison, VA,0.162
Randolph, WV,0.1617
Fayette, WV,0.1611
Richmond, VA,0.1601
Floyd, VA,0.1579
Roane, WV,0.1578
Wayne, WV,0.1572
Staunton city, VA,0.157
Patrick, VA,0.1569
Mingo, WV,0.1567
Greenbrier, WV,0.1559
Fluvanna, VA,0.1557
Grant, WV,0.1557
Suffolk city, VA,0.1538
Southampton, VA,0.1531
Russell, VA,0.1509
Monroe, WV,0.1508
Pittsylvania, VA,0.1505
Mason, WV,0.1486
Greene, VA,0.148
Accomack, VA,0.1477
Ritchie, WV,0.1477
Washington, VA,0.1472
Bristol city, VA,0.1471
Nelson, VA,0.1464
Hampshire, WV,0.1459
Pulaski, VA,0.1458
Wise, VA,0.1458
Waynesboro city, VA,0.1452
Caroline, VA,0.144
Page, VA,0.1439
Franklin, VA,0.1436
Dinwiddie, VA,0.1434
Lincoln, WV,0.1432
Surry, VA,0.1431
Westmoreland, VA,0.1427
Giles, VA,0.1424
Newport News city, VA,0.1423
Nottoway, VA,0.1412
Halifax, VA,0.141
Galax city, VA,0.1409
Morgan, WV,0.1401
Wythe, VA,0.14
Pendleton, WV,0.1392
Lunenburg, VA,0.1391
Covington city, VA,0.1383
Amelia, VA,0.1379
Hardy, WV,0.135
