cty,Name,Frac._in_Top_20%_Based_on_Household_Income_rP_gP_pall
cty22049,"Jackson Parish, LA",0.1958
cty18045,"Fountain County, IN",0.1957
cty20041,"Dickinson County, KS",0.1957
cty30099,"Teton County, MT",0.1957
cty26131,"Ontonagon County, MI",0.1956
cty26071,"Iron County, MI",0.1954
cty06101,"Sutter County, CA",0.1953
cty06089,"Shasta County, CA",0.1952
cty29003,"Andrew County, MO",0.1949
cty05053,"Grant County, AR",0.1948
cty20181,"Sherman County, KS",0.1946
cty29001,"Adair County, MO",0.1946
cty08041,"El Paso County, CO",0.1945
cty20133,"Neosho County, KS",0.1945
cty18091,"LaPorte County, IN",0.1944
cty20073,"Greenwood County, KS",0.1944
cty30081,"Ravalli County, MT",0.1944
cty51115,"Mathews County, VA",0.1944
cty32031,"Washoe County, NV",0.1943
cty20089,"Jewell County, KS",0.1943
cty29099,"Jefferson County, MO",0.1941
cty31043,"Dakota County, NE",0.1941
cty36041,"Hamilton County, NY",0.194
cty13029,"Bryan County, GA",0.1939
cty29045,"Clark County, MO",0.1938
cty19007,"Appanoose County, IA",0.1937
cty17017,"Cass County, IL",0.1936
cty30035,"Glacier County, MT",0.1932
cty23019,"Penobscot County, ME",0.1931
cty05025,"Cleveland County, AR",0.193
cty20059,"Franklin County, KS",0.1928
cty26003,"Alger County, MI",0.1928
cty21041,"Carroll County, KY",0.1925
cty17139,"Moultrie County, IL",0.1924
cty31007,"Banner County, NE",0.1924
cty21179,"Nelson County, KY",0.1923
cty24047,"Worcester County, MD",0.192
cty22003,"Allen Parish, LA",0.1919
cty18099,"Marshall County, IN",0.1918
cty31047,"Dawson County, NE",0.1917
cty22015,"Bossier Parish, LA",0.1915
cty20011,"Bourbon County, KS",0.1914
cty12021,"Collier County, FL",0.1913
cty16055,"Kootenai County, ID",0.1913
cty17163,"St. Clair County, IL",0.1913
cty17047,"Edwards County, IL",0.1911
cty36013,"Chautauqua County, NY",0.1911
cty55081,"Monroe County, WI",0.1911
cty16029,"Caribou County, ID",0.191
cty17061,"Greene County, IL",0.191
cty22045,"Iberia Parish, LA",0.191
cty17051,"Fayette County, IL",0.1908
cty18077,"Jefferson County, IN",0.1908
cty18145,"Shelby County, IN",0.1908
cty17145,"Perry County, IL",0.1907
cty18139,"Rush County, IN",0.1905
cty16049,"Idaho County, ID",0.1904
cty17029,"Coles County, IL",0.1904
cty08027,"Custer County, CO",0.1904
cty08009,"Baca County, CO",0.1903
cty29107,"Lafayette County, MO",0.1901
cty05143,"Washington County, AR",0.19
cty29049,"Clinton County, MO",0.19
cty32510,"Carson City, NV",0.1898
cty06029,"Kern County, CA",0.1897
cty22099,"St. Martin Parish, LA",0.1897
cty05045,"Faulkner County, AR",0.1895
cty12001,"Alachua County, FL",0.1895
cty20173,"Sedgwick County, KS",0.1895
cty36023,"Cortland County, NY",0.1895
cty13247,"Rockdale County, GA",0.1894
cty16069,"Nez Perce County, ID",0.1894
cty25025,"Suffolk County, MA",0.1893
cty55053,"Jackson County, WI",0.1892
cty17169,"Schuyler County, IL",0.1891
cty23011,"Kennebec County, ME",0.1891
cty30029,"Flathead County, MT",0.1891
cty16071,"Oneida County, ID",0.189
cty06077,"San Joaquin County, CA",0.1889
cty18121,"Parke County, IN",0.1889
cty36033,"Franklin County, NY",0.1889
cty41055,"Sherman County, OR",0.1889
cty06037,"Los Angeles County, CA",0.1886
cty22009,"Avoyelles Parish, LA",0.1886
cty20155,"Reno County, KS",0.1884
cty21111,"Jefferson County, KY",0.1883
cty55103,"Richland County, WI",0.1883
cty13103,"Effingham County, GA",0.1882
cty18107,"Montgomery County, IN",0.1882
cty21115,"Johnson County, KY",0.1882
cty35059,"Union County, NM",0.1881
cty21089,"Greenup County, KY",0.1877
cty08071,"Las Animas County, CO",0.1875
cty05027,"Columbia County, AR",0.1873
cty31117,"McPherson County, NE",0.1873
cty17057,"Fulton County, IL",0.1872
cty18085,"Kosciusko County, IN",0.1872
cty26011,"Arenac County, MI",0.1871
cty29113,"Lincoln County, MO",0.1871
cty30075,"Powder River County, MT",0.1871
cty18133,"Putnam County, IN",0.187
cty30085,"Roosevelt County, MT",0.1869
cty36009,"Cattaraugus County, NY",0.1867
cty55003,"Ashland County, WI",0.1863
cty55013,"Burnett County, WI",0.1863
cty12099,"Palm Beach County, FL",0.1862
cty36031,"Essex County, NY",0.1862
cty13177,"Lee County, GA",0.1861
cty05145,"White County, AR",0.186
cty21107,"Hopkins County, KY",0.1859
cty55077,"Marquette County, WI",0.1854
cty06099,"Stanislaus County, CA",0.1853
cty20003,"Anderson County, KS",0.1853
cty15007,"Kauai County, HI",0.1849
cty26075,"Jackson County, MI",0.1849
cty18071,"Jackson County, IN",0.1847
cty26151,"Sanilac County, MI",0.1847
cty17181,"Union County, IL",0.1844
cty35045,"San Juan County, NM",0.1843
cty16051,"Jefferson County, ID",0.1841
cty18015,"Carroll County, IN",0.1841
cty21105,"Hickman County, KY",0.1839
cty26145,"Saginaw County, MI",0.1838
cty21101,"Henderson County, KY",0.1836
cty26155,"Shiawassee County, MI",0.1836
cty20099,"Labette County, KS",0.1835
cty26005,"Allegan County, MI",0.1835
cty31103,"Keya Paha County, NE",0.1834
cty28039,"George County, MS",0.1833
cty55129,"Washburn County, WI",0.1833
cty53069,"Wahkiakum County, WA",0.1833
cty29173,"Ralls County, MO",0.1831
cty02100,"Haines Borough, AK",0.183
cty24045,"Wicomico County, MD",0.1829
cty12087,"Monroe County, FL",0.1828
cty17045,"Edgar County, IL",0.1828
cty40057,"Harmon County, OK",0.1825
cty16031,"Cassia County, ID",0.1824
cty26091,"Lenawee County, MI",0.1824
cty27021,"Cass County, MN",0.1824
cty22105,"Tangipahoa Parish, LA",0.1823
cty31069,"Garden County, NE",0.1823
cty26067,"Ionia County, MI",0.1822
cty21229,"Washington County, KY",0.1821
cty17009,"Brown County, IL",0.1821
cty06023,"Humboldt County, CA",0.182
cty20043,"Doniphan County, KS",0.182
cty29053,"Cooper County, MO",0.1819
cty12011,"Broward County, FL",0.1818
cty17171,"Scott County, IL",0.1818
cty28077,"Lawrence County, MS",0.1818
cty49055,"Wayne County, UT",0.1817
cty05031,"Craighead County, AR",0.1814
cty47001,"Anderson County, TN",0.1814
cty51720,"Norton city, VA",0.1814
cty16011,"Bingham County, ID",0.1813
cty30077,"Powell County, MT",0.1813
cty15009,"Maui County, HI",0.1811
cty20107,"Linn County, KS",0.1811
cty29177,"Ray County, MO",0.181
cty17087,"Johnson County, IL",0.1809
cty21177,"Muhlenberg County, KY",0.1807
cty54109,"Wyoming County, WV",0.1806
cty17121,"Marion County, IL",0.1805
cty23001,"Androscoggin County, ME",0.1805
cty29083,"Henry County, MO",0.1805
cty26083,"Keweenaw County, MI",0.1805
cty21083,"Graves County, KY",0.1804
cty55079,"Milwaukee County, WI",0.1803
cty18183,"Whitley County, IN",0.1802
cty30067,"Park County, MT",0.1802
cty29129,"Mercer County, MO",0.1802
cty24023,"Garrett County, MD",0.1801
cty30053,"Lincoln County, MT",0.1801
cty18049,"Fulton County, IN",0.18
cty18069,"Huntington County, IN",0.18
cty51057,"Essex County, VA",0.18
cty21007,"Ballard County, KY",0.1799
cty21239,"Woodford County, KY",0.1799
cty18169,"Wabash County, IN",0.1798
cty20055,"Finney County, KS",0.1794
cty22021,"Caldwell Parish, LA",0.1794
cty22025,"Catahoula Parish, LA",0.1794
cty18167,"Vigo County, IN",0.1793
cty17081,"Jefferson County, IL",0.1792
cty33019,"Sullivan County, NH",0.1791
cty26157,"Tuscola County, MI",0.1789
cty18067,"Howard County, IN",0.1788
cty27031,"Cook County, MN",0.1787
cty21091,"Hancock County, KY",0.1785
cty48431,"Sterling County, TX",0.1785
cty21035,"Calloway County, KY",0.1784
cty22107,"Tensas Parish, LA",0.1783
cty10005,"Sussex County, DE",0.178
cty26015,"Barry County, MI",0.178
cty18021,"Clay County, IN",0.1779
cty17199,"Williamson County, IL",0.1778
cty20035,"Cowley County, KS",0.1777
cty36017,"Chenango County, NY",0.1777
cty05029,"Conway County, AR",0.1775
cty36003,"Allegany County, NY",0.1774
cty16017,"Bonner County, ID",0.1772
cty18055,"Greene County, IN",0.1769
cty55007,"Bayfield County, WI",0.1769
cty18023,"Clinton County, IN",0.1768
cty55057,"Juneau County, WI",0.1768
cty21149,"McLean County, KY",0.1767
cty02261,"Valdez-Cordova Census Area, AK",0.1767
cty18109,"Morgan County, IN",0.1766
cty55051,"Iron County, WI",0.1766
cty54107,"Wood County, WV",0.1765
cty12073,"Leon County, FL",0.1764
cty05115,"Pope County, AR",0.1763
cty23009,"Hancock County, ME",0.1761
cty26021,"Berrien County, MI",0.1761
cty29115,"Linn County, MO",0.1758
cty08099,"Prowers County, CO",0.1756
cty21155,"Marion County, KY",0.1755
cty23015,"Lincoln County, ME",0.1755
cty51133,"Northumberland County, VA",0.1755
cty21157,"Marshall County, KY",0.1754
cty18165,"Vermillion County, IN",0.1753
cty29021,"Buchanan County, MO",0.1752
cty51103,"Lancaster County, VA",0.1751
cty16041,"Franklin County, ID",0.175
cty21055,"Crittenden County, KY",0.1749
cty55067,"Langlade County, WI",0.1748
cty55137,"Waushara County, WI",0.1745
cty28071,"Lafayette County, MS",0.1743
cty28091,"Marion County, MS",0.174
cty16005,"Bannock County, ID",0.1739
cty21223,"Trimble County, KY",0.1739
cty08061,"Kiowa County, CO",0.1739
cty21021,"Boyle County, KY",0.1738
cty06053,"Monterey County, CA",0.1736
cty18019,"Clark County, IN",0.1736
cty20057,"Ford County, KS",0.1736
cty29161,"Phelps County, MO",0.1736
cty08017,"Cheyenne County, CO",0.1735
cty05139,"Union County, AR",0.1733
cty22029,"Concordia Parish, LA",0.1733
cty18039,"Elkhart County, IN",0.1732
cty35049,"Santa Fe County, NM",0.1731
cty55041,"Forest County, WI",0.1731
cty12103,"Pinellas County, FL",0.1729
cty34011,"Cumberland County, NJ",0.1729
cty06071,"San Bernardino County, CA",0.1728
cty10001,"Kent County, DE",0.1727
cty08065,"Lake County, CO",0.1723
cty29127,"Marion County, MO",0.1723
cty17101,"Lawrence County, IL",0.1722
cty21161,"Mason County, KY",0.1722
cty29139,"Montgomery County, MO",0.1722
cty21033,"Caldwell County, KY",0.1721
cty29057,"Dade County, MO",0.1721
cty13145,"Harris County, GA",0.172
cty23003,"Aroostook County, ME",0.172
cty20125,"Montgomery County, KS",0.1719
cty22043,"Grant Parish, LA",0.1719
cty26107,"Mecosta County, MI",0.1719
cty26057,"Gratiot County, MI",0.1718
cty29121,"Macon County, MO",0.1717
cty31031,"Cherry County, NE",0.1717
cty22119,"Webster Parish, LA",0.1716
cty26049,"Genesee County, MI",0.1716
cty18151,"Steuben County, IN",0.1715
cty29025,"Caldwell County, MO",0.171
cty48275,"Knox County, TX",0.171
cty35001,"Bernalillo County, NM",0.1708
cty23013,"Knox County, ME",0.1706
cty08085,"Montrose County, CO",0.1705
cty05131,"Sebastian County, AR",0.1704
cty16077,"Power County, ID",0.1704
cty30089,"Sanders County, MT",0.1703
cty16053,"Jerome County, ID",0.17
cty30051,"Liberty County, MT",0.17
cty17191,"Wayne County, IL",0.1699
cty16081,"Teton County, ID",0.1698
cty22027,"Claiborne Parish, LA",0.1696
cty29137,"Monroe County, MO",0.1696
cty06105,"Trinity County, CA",0.1694
cty17055,"Franklin County, IL",0.1694
cty18149,"Starke County, IN",0.1693
cty17151,"Pope County, IL",0.1693
cty46007,"Bennett County, SD",0.1692
cty13077,"Coweta County, GA",0.1689
cty18017,"Cass County, IN",0.1689
cty20175,"Seward County, KS",0.1689
cty30045,"Judith Basin County, MT",0.1689
cty24033,"Prince George's County, MD",0.1686
cty06065,"Riverside County, CA",0.1684
cty46071,"Jackson County, SD",0.1684
cty17127,"Massac County, IL",0.1681
cty28033,"DeSoto County, MS",0.1681
cty08089,"Otero County, CO",0.168
cty17183,"Vermilion County, IL",0.168
cty21019,"Boyd County, KY",0.1679
cty19177,"Van Buren County, IA",0.1678
cty29013,"Bates County, MO",0.1678
cty21209,"Scott County, KY",0.1677
cty29077,"Greene County, MO",0.1677
cty29227,"Worth County, MO",0.1677
cty02240,"Southeast Fairbanks Census Area, AK",0.1676
cty12035,"Flagler County, FL",0.1675
cty48125,"Dickens County, TX",0.1675
cty17025,"Clay County, IL",0.1674
cty28045,"Hancock County, MS",0.1673
cty12009,"Brevard County, FL",0.1672
cty26001,"Alcona County, MI",0.1671
cty30037,"Golden Valley County, MT",0.167
cty05125,"Saline County, AR",0.1669
cty13151,"Henry County, GA",0.1668
cty21227,"Warren County, KY",0.1664
cty19053,"Decatur County, IA",0.1663
cty23021,"Piscataquis County, ME",0.1663
cty26025,"Calhoun County, MI",0.1662
cty06045,"Mendocino County, CA",0.1661
cty23007,"Franklin County, ME",0.166
cty18113,"Noble County, IN",0.1659
cty21123,"Larue County, KY",0.1658
cty51045,"Craig County, VA",0.1655
cty47031,"Coffee County, TN",0.1654
cty26119,"Montmorency County, MI",0.1653
cty08001,"Adams County, CO",0.1652
cty26101,"Manistee County, MI",0.1652
cty21211,"Shelby County, KY",0.1651
cty08003,"Alamosa County, CO",0.165
cty31113,"Logan County, NE",0.165
cty15001,"Hawaii County, HI",0.1649
cty18065,"Henry County, IN",0.1649
cty54101,"Webster County, WV",0.1649
cty51097,"King and Queen County, VA",0.1648
cty29007,"Audrain County, MO",0.1642
cty32001,"Churchill County, NV",0.1642
cty49031,"Piute County, UT",0.1641
cty72081,"Lares Municipio, PR",0.164
cty23025,"Somerset County, ME",0.1639
cty26165,"Wexford County, MI",0.1639
cty12057,"Hillsborough County, FL",0.1636
cty13097,"Douglas County, GA",0.1636
cty29073,"Gasconade County, MO",0.1636
cty72005,"Aguadilla Municipio, PR",0.1636
cty26105,"Mason County, MI",0.1635
cty08043,"Fremont County, CO",0.1633
cty12071,"Lee County, FL",0.1633
cty21029,"Bullitt County, KY",0.1633
cty29159,"Pettis County, MO",0.1632
cty48155,"Foard County, TX",0.1625
cty06015,"Del Norte County, CA",0.1623
cty06103,"Tehama County, CA",0.1623
cty13153,"Houston County, GA",0.1622
cty12089,"Nassau County, FL",0.1621
cty21143,"Lyon County, KY",0.162
cty05063,"Independence County, AR",0.1618
cty08083,"Montezuma County, CO",0.1618
cty29101,"Johnson County, MO",0.1617
cty18035,"Delaware County, IN",0.1616
cty16067,"Minidoka County, ID",0.1615
cty30003,"Big Horn County, MT",0.1614
cty05085,"Lonoke County, AR",0.1612
cty20097,"Kiowa County, KS",0.1612
cty12061,"Indian River County, FL",0.161
cty16083,"Twin Falls County, ID",0.1609
cty26097,"Mackinac County, MI",0.1609
cty13139,"Hall County, GA",0.1608
cty22069,"Natchitoches Parish, LA",0.1608
cty21163,"Meade County, KY",0.1607
cty29201,"Scott County, MO",0.1607
cty13297,"Walton County, GA",0.1606
cty16045,"Gem County, ID",0.1606
cty35009,"Curry County, NM",0.1606
cty05051,"Garland County, AR",0.1605
cty13059,"Clarke County, GA",0.1604
cty29095,"Jackson County, MO",0.1604
cty05043,"Drew County, AR",0.1603
cty29027,"Callaway County, MO",0.1602
cty32019,"Lyon County, NV",0.1602
cty16009,"Benewah County, ID",0.1601
cty22073,"Ouachita Parish, LA",0.1601
cty29103,"Knox County, MO",0.1599
cty06021,"Glenn County, CA",0.1598
cty16047,"Gooding County, ID",0.1597
cty18103,"Miami County, IN",0.1597
cty28109,"Pearl River County, MS",0.1597
cty08033,"Dolores County, CO",0.1597
cty18095,"Madison County, IN",0.1594
cty22037,"East Feliciana Parish, LA",0.1594
cty29087,"Holt County, MO",0.1593
cty47039,"Decatur County, TN",0.1593
cty20001,"Allen County, KS",0.159
cty23023,"Sagadahoc County, ME",0.159
cty29043,"Christian County, MO",0.1589
cty20049,"Elk County, KS",0.1589
cty26027,"Cass County, MI",0.1587
cty26029,"Charlevoix County, MI",0.1587
cty26023,"Branch County, MI",0.1586
cty12019,"Clay County, FL",0.1583
cty21217,"Taylor County, KY",0.1582
cty05119,"Pulaski County, AR",0.1578
cty21215,"Spencer County, KY",0.1578
cty48191,"Hall County, TX",0.1578
cty18097,"Marion County, IN",0.1577
cty16023,"Butte County, ID",0.1576
cty22041,"Franklin Parish, LA",0.1574
cty20093,"Kearny County, KS",0.1574
cty02105,"Hoonah-Angoon Census Area, AK",0.1574
cty26163,"Wayne County, MI",0.1573
cty28085,"Lincoln County, MS",0.1571
cty05083,"Logan County, AR",0.1569
cty18135,"Randolph County, IN",0.1564
cty26123,"Newaygo County, MI",0.1563
cty26033,"Chippewa County, MI",0.1562
cty29029,"Camden County, MO",0.1562
cty51091,"Highland County, VA",0.1562
cty12091,"Okaloosa County, FL",0.1561
cty13045,"Carroll County, GA",0.1561
cty26159,"Van Buren County, MI",0.1561
cty05023,"Cleburne County, AR",0.156
cty06115,"Yuba County, CA",0.156
cty46137,"Ziebach County, SD",0.156
cty30097,"Sweet Grass County, MT",0.1558
cty12015,"Charlotte County, FL",0.1556
cty26009,"Antrim County, MI",0.1556
cty72125,"San German Municipio, PR",0.1553
cty28037,"Franklin County, MS",0.155
cty18161,"Union County, IN",0.1549
cty18177,"Wayne County, IN",0.1548
cty35027,"Lincoln County, NM",0.1548
cty06047,"Merced County, CA",0.1547
cty13291,"Union County, GA",0.1546
cty16003,"Adams County, ID",0.1546
cty12113,"Santa Rosa County, FL",0.1544
cty29145,"Newton County, MO",0.1544
cty22079,"Rapides Parish, LA",0.1543
cty05047,"Franklin County, AR",0.154
cty05087,"Madison County, AR",0.154
cty26031,"Cheboygan County, MI",0.1538
cty26149,"St. Joseph County, MI",0.1538
cty35043,"Sandoval County, NM",0.1538
cty18075,"Jay County, IN",0.1537
cty22115,"Vernon Parish, LA",0.1536
cty30047,"Lake County, MT",0.1536
cty32003,"Clark County, NV",0.1536
cty55037,"Florence County, WI",0.1536
cty13311,"White County, GA",0.1535
cty22127,"Winn Parish, LA",0.1535
cty47037,"Davidson County, TN",0.1534
cty26121,"Muskegon County, MI",0.1533
cty08049,"Grand County, CO",0.1532
cty26133,"Osceola County, MI",0.1531
cty13223,"Paulding County, GA",0.153
cty06019,"Fresno County, CA",0.1529
cty21077,"Gallatin County, KY",0.1526
cty13115,"Floyd County, GA",0.1525
cty26069,"Iosco County, MI",0.1524
cty12086,"Miami-Dade County, FL",0.1522
cty26143,"Roscommon County, MI",0.1521
cty28067,"Jones County, MS",0.1521
cty21159,"Martin County, KY",0.1519
cty29135,"Moniteau County, MO",0.1518
cty21113,"Jessamine County, KY",0.1517
cty26051,"Gladwin County, MI",0.1517
cty12081,"Manatee County, FL",0.1516
cty51021,"Bland County, VA",0.1514
cty29079,"Grundy County, MO",0.1512
cty13085,"Dawson County, GA",0.1511
cty21133,"Letcher County, KY",0.1511
cty21195,"Pike County, KY",0.1509
cty21093,"Hardin County, KY",0.1505
cty29061,"Daviess County, MO",0.1505
cty47009,"Blount County, TN",0.1505
cty13207,"Monroe County, GA",0.1504
cty24019,"Dorchester County, MD",0.1504
cty28059,"Jackson County, MS",0.1503
cty21167,"Mercer County, KY",0.1501
cty47017,"Carroll County, TN",0.1501
cty29205,"Shelby County, MO",0.15
cty37095,"Hyde County, NC",0.1499
cty24011,"Caroline County, MD",0.1498
cty26113,"Missaukee County, MI",0.1498
cty21027,"Breckinridge County, KY",0.1495
cty21009,"Barren County, KY",0.1494
cty06031,"Kings County, CA",0.1492
cty21073,"Franklin County, KY",0.1491
cty47021,"Cheatham County, TN",0.1491
cty48261,"Kenedy County, TX",0.1491
cty08031,"Denver County, CO",0.149
cty26013,"Baraga County, MI",0.1489
cty22111,"Union Parish, LA",0.1488
cty12101,"Pasco County, FL",0.1487
cty16039,"Elmore County, ID",0.1486
cty21049,"Clark County, KY",0.1483
cty22013,"Bienville Parish, LA",0.1483
cty28105,"Oktibbeha County, MS",0.1479
cty29199,"Scotland County, MO",0.1479
cty26059,"Hillsdale County, MI",0.1478
cty06107,"Tulare County, CA",0.1477
cty48101,"Cottle County, TX",0.1477
cty29011,"Barton County, MO",0.1476
cty23017,"Oxford County, ME",0.1474
cty18093,"Lawrence County, IN",0.1473
cty18117,"Orange County, IN",0.1473
cty22017,"Caddo Parish, LA",0.1473
cty12067,"Lafayette County, FL",0.1472
cty21151,"Madison County, KY",0.1472
cty26153,"Schoolcraft County, MI",0.1472
cty08101,"Pueblo County, CO",0.1471
cty21201,"Robertson County, KY",0.1471
cty16021,"Boundary County, ID",0.1468
cty47043,"Dickson County, TN",0.1468
cty55113,"Sawyer County, WI",0.1468
cty48327,"Menard County, TX",0.1468
cty32029,"Storey County, NV",0.1467
cty21183,"Ohio County, KY",0.1466
cty26129,"Ogemaw County, MI",0.1466
cty13137,"Habersham County, GA",0.1465
cty28141,"Tishomingo County, MS",0.1465
cty29111,"Lewis County, MO",0.1465
cty35007,"Colfax County, NM",0.1464
cty48129,"Donley County, TX",0.1464
cty08105,"Rio Grande County, CO",0.1463
cty35005,"Chaves County, NM",0.1463
cty28149,"Warren County, MS",0.1462
cty16087,"Washington County, ID",0.146
cty12017,"Citrus County, FL",0.1459
cty28005,"Amite County, MS",0.1458
cty28155,"Webster County, MS",0.1457
cty16075,"Payette County, ID",0.1456
cty46075,"Jones County, SD",0.1455
cty22031,"De Soto Parish, LA",0.1454
cty21205,"Rowan County, KY",0.1448
cty21173,"Montgomery County, KY",0.1447
cty21219,"Todd County, KY",0.1447
cty16063,"Lincoln County, ID",0.1447
cty12095,"Orange County, FL",0.1446
cty28153,"Wayne County, MS",0.1446
cty28079,"Leake County, MS",0.1442
cty21127,"Lawrence County, KY",0.1441
cty21213,"Simpson County, KY",0.1441
cty05121,"Randolph County, AR",0.144
cty28075,"Lauderdale County, MS",0.144
cty13031,"Bulloch County, GA",0.1436
cty29089,"Howard County, MO",0.1436
cty23027,"Waldo County, ME",0.1434
cty05013,"Calhoun County, AR",0.1434
cty35013,"Do±íáüna County, NM",0.1432
cty30005,"Blaine County, MT",0.143
cty08109,"Saguache County, CO",0.143
cty28147,"Walthall County, MS",0.1429
cty05055,"Greene County, AR",0.1428
cty13013,"Barrow County, GA",0.1425
cty16043,"Fremont County, ID",0.1425
cty28127,"Simpson County, MS",0.1425
cty16059,"Lemhi County, ID",0.1423
cty47023,"Chester County, TN",0.1423
cty21153,"Magoffin County, KY",0.1422
cty13227,"Pickens County, GA",0.1421
cty29175,"Randolph County, MO",0.1421
cty18053,"Grant County, IN",0.142
cty72127,"San Juan Municipio, PR",0.1419
cty21141,"Logan County, KY",0.1418
cty16079,"Shoshone County, ID",0.1417
cty23029,"Washington County, ME",0.1416
cty28001,"Adams County, MS",0.1414
cty29097,"Jasper County, MO",0.1413
cty13279,"Toombs County, GA",0.1412
cty26135,"Oscoda County, MI",0.1412
cty12127,"Volusia County, FL",0.1411
cty13047,"Catoosa County, GA",0.1411
cty29109,"Lawrence County, MO",0.141
cty13241,"Rabun County, GA",0.1409
cty29143,"New Madrid County, MO",0.1409
cty55001,"Adams County, WI",0.1407
cty06039,"Madera County, CA",0.1406
cty47007,"Bledsoe County, TN",0.1406
cty12031,"Duval County, FL",0.1405
cty26127,"Oceana County, MI",0.1404
cty05033,"Crawford County, AR",0.1403
cty13039,"Camden County, GA",0.1402
cty28081,"Lee County, MS",0.1402
cty21103,"Henry County, KY",0.14
cty29125,"Maries County, MO",0.14
cty26117,"Montcalm County, MI",0.1399
cty28007,"Attala County, MS",0.1397
cty13231,"Pike County, GA",0.1396
cty02220,"Sitka City and Borough, AK",0.1396
cty21221,"Trigg County, KY",0.1394
cty16015,"Boise County, ID",0.1394
cty02195,"Petersburg Borough, AK",0.1394
cty26019,"Benzie County, MI",0.1393
cty21071,"Floyd County, KY",0.1391
cty05105,"Perry County, AR",0.139
cty29081,"Harrison County, MO",0.139
cty18041,"Fayette County, IN",0.1389
cty21017,"Bourbon County, KY",0.1388
cty08025,"Crowley County, CO",0.1388
cty13051,"Chatham County, GA",0.1385
cty72097,"Mayaguez Municipio, PR",0.1383
cty12069,"Lake County, FL",0.1378
cty13211,"Morgan County, GA",0.1377
cty12005,"Bay County, FL",0.1373
cty28047,"Harrison County, MS",0.1373
cty13015,"Bartow County, GA",0.1372
cty05133,"Sevier County, AR",0.1371
cty18155,"Switzerland County, IN",0.1371
cty12053,"Hernando County, FL",0.137
cty21097,"Harrison County, KY",0.137
cty05109,"Pike County, AR",0.1369
cty18087,"LaGrange County, IN",0.1367
cty21129,"Lee County, KY",0.1365
cty21181,"Nicholas County, KY",0.1365
cty13083,"Dade County, GA",0.1363
cty29187,"St. Francois County, MO",0.1363
cty18143,"Scott County, IN",0.1362
cty28035,"Forrest County, MS",0.1362
cty35035,"Otero County, NM",0.1362
cty29015,"Benton County, MO",0.1361
cty13181,"Lincoln County, GA",0.136
cty72061,"Guaynabo Municipio, PR",0.1359
cty72033,"Catano Municipio, PR",0.1358
cty29213,"Taney County, MO",0.1357
cty48243,"Jeff Davis County, TX",0.1354
cty05071,"Johnson County, AR",0.135
cty05117,"Prairie County, AR",0.1348
cty28131,"Stone County, MS",0.1346
cty13275,"Thomas County, GA",0.1344
cty20021,"Cherokee County, KS",0.1344
cty47011,"Bradley County, TN",0.1343
cty05039,"Dallas County, AR",0.1342
cty28023,"Clarke County, MS",0.1342
cty28137,"Tate County, MS",0.1342
cty29131,"Miller County, MO",0.1342
cty18175,"Washington County, IN",0.1341
cty13315,"Wilcox County, GA",0.1339
cty28019,"Choctaw County, MS",0.1339
cty13023,"Bleckley County, GA",0.1337
cty21139,"Livingston County, KY",0.1337
cty02275,"Wrangell City and Borough, AK",0.1336
cty13069,"Coffee County, GA",0.1335
cty29197,"Schuyler County, MO",0.1335
cty51037,"Charlotte County, VA",0.1334
cty22083,"Richland Parish, LA",0.1333
cty05141,"Van Buren County, AR",0.1332
cty13305,"Wayne County, GA",0.1331
cty29167,"Polk County, MO",0.1331
cty35039,"Rio Arriba County, NM",0.133
cty13185,"Lowndes County, GA",0.1328
cty05103,"Ouachita County, AR",0.1327
cty29207,"Stoddard County, MO",0.1326
cty05137,"Stone County, AR",0.1325
cty05059,"Hot Spring County, AR",0.1324
cty21187,"Owen County, KY",0.1324
cty13001,"Appling County, GA",0.1323
cty05037,"Cross County, AR",0.1322
cty30033,"Garfield County, MT",0.1322
cty13011,"Banks County, GA",0.1319
cty35055,"Taos County, NM",0.1317
cty26035,"Clare County, MI",0.1316
cty05091,"Miller County, AR",0.1315
cty18025,"Crawford County, IN",0.1315
cty12105,"Polk County, FL",0.1314
cty13127,"Glynn County, GA",0.1314
cty16027,"Canyon County, ID",0.1313
cty18009,"Blackford County, IN",0.1313
cty13285,"Troup County, GA",0.1311
cty28123,"Scott County, MS",0.131
cty12033,"Escambia County, FL",0.1309
cty47005,"Benton County, TN",0.1308
cty47003,"Bedford County, TN",0.1307
cty28097,"Montgomery County, MS",0.1305
cty21191,"Pendleton County, KY",0.1302
cty21047,"Christian County, KY",0.1301
cty13157,"Jackson County, GA",0.1299
cty28031,"Covington County, MS",0.1299
cty21063,"Elliott County, KY",0.1298
cty13313,"Whitfield County, GA",0.1296
cty18079,"Jennings County, IN",0.1295
cty48345,"Motley County, TX",0.1292
cty05073,"Lafayette County, AR",0.129
cty18119,"Owen County, IN",0.1289
cty22081,"Red River Parish, LA",0.1287
cty13109,"Evans County, GA",0.1283
cty18013,"Brown County, IN",0.1283
cty29195,"Saline County, MO",0.1283
cty29217,"Vernon County, MO",0.1283
cty21081,"Grant County, KY",0.128
cty05113,"Polk County, AR",0.1276
cty13129,"Gordon County, GA",0.1276
cty28087,"Lowndes County, MS",0.1276
cty12003,"Baker County, FL",0.1275
cty35061,"Valencia County, NM",0.1268
cty05081,"Little River County, AR",0.1267
cty12119,"Sumter County, FL",0.1267
cty29009,"Barry County, MO",0.1267
